labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
Esferas_BT474_dia_5_well_2_100X_6_blob_1;9974.2291;930.1092;819.7563;930.1092;819.7563;388.0339;876.3587;761.5489;108.0163;116.1685;0.8324;119.6906;1311;1270;47.07;108.0163;1.0596;0.9438;0.9742;si;5;113.85345;239.1498459400136
Esferas_BT474_dia_5_well_2_100X_1_blob_4;150.4534;272.4268;1137.9118;272.4268;1137.9118;46.7184;265.625;1130.4348;12.9076;14.9457;0.8662;15.684;399;1686;72.3499;12.9076;1.132;0.8834;0.9341;no;5;14.2958;0.4734312388425717
Esferas_BT474_dia_5_well_2_100X_5_blob_1;513.203;1018.2245;350.92900000000014;1018.2245;350.92900000000014;84.5571;1005.4348;338.3152;25.8152;25.8152;0.902;26.7718;1486;501;125.7067;25.7479;1.0159;0.9843;0.9586;no;5;26.25985;2.9343251967919017
Esferas_BT474_dia_5_well_1_100X_2_blob_8;1011.176;1310.4739;1244.251;1310.4739;1244.251;118.7176;1291.4402;1226.2228;37.3641;35.3261;0.9016;38.1041;1901;1829;168.6901;35.0171;1.0841;0.9225;0.9673;no;5;36.5606;7.919020422703077
Esferas_BT474_dia_5_well_1_100X_2_blob_5;356.2884;649.6334;284.7004;649.6334;284.7004;69.5149;639.2663;274.4565;21.0598;21.0598;0.9265;22.786;941;426;26.5651;21.0598;1.0173;0.983;0.956;no;5;21.9229;1.7073616742318845
Esferas_BT474_dia_5_well_1_100X_1_blob_1;19438.4858;917.2346;490.4288;917.2346;490.4288;562.1049;832.2011;404.8913;163.0435;167.1196;0.7731;179.533;1272;625;129.4725;142.6703;1.2407;0.8059999999999999;0.9731;si;5;161.10165;677.5346106868059
Esferas_BT474_dia_5_well_2_100X_3_blob_1;10851.1047;1223.5433;569.1851;1223.5433;569.1851;402.2802;1165.7609;510.1902;114.8098;118.8859;0.8426;125.3337;1765;753;113.6472;114.6274;1.0725;0.9324;0.9778;si;5;119.98055;279.8749733283702
Esferas_BT474_dia_5_well_1_100X_5_blob_1;2926.9184;897.9119999999997;481.0931;897.9119999999997;481.0931;205.9238;867.5272;449.7283;61.1413;63.8587;0.8674;65.0615;1299;750;61.294;59.5661;1.0953;0.913;0.9698;si;5;62.3138;39.20886114866136
Esferas_BT474_dia_5_well_1_100X_5_blob_4;1633.2962;880.7228;1006.1254;880.7228;1006.1254;153.8389;857.337;982.337;45.5163;46.875;0.8672;48.4676;1278;1511;58.7608;44.7632;1.0615;0.9421;0.9614;si;5;46.6154;16.414201686620082
Esferas_BT474_dia_5_well_2_100X_12_blob_1;19085.428;1118.5967;644.7479;1118.5967;644.7479;552.7306;1031.25;565.8967;169.1576;154.8913;0.785;170.9542;1525;998;20.9558;148.8498;1.1259;0.8882;0.9681;si;5;159.90200000000004;662.5111735290624
