;labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
606;Esferas_BT474_dia_3_well_1_100X_6_blob_4;3408.277;404.0458;765.7602;404.0458;765.7602;221.2674;372.2826;732.337;65.2174;67.9348;0.8748;72.3689;552;1093;140.3322;62.7566;1.1439;0.8742;0.9749;si;3;67.56275;49.97507732682822
607;Esferas_BT474_dia_3_well_2_100X_2_blob_2;8189.095;1461.6083;627.5649;1461.6083;627.5649;374.8731;1413.0435;562.5;98.5054;118.8859;0.7323;119.2134;2143;1003;85.7515;98.5054;1.1424;0.8754;0.9427;si;3;108.8594;209.03996727402475
608;Esferas_BT474_dia_3_well_1_100X_4_blob_1;5457.8583;717.9765;302.01;717.9765;302.01;312.5497;663.0435;263.587;100.5435;78.125;0.7021;106.7787;976;411;156.3706;77.3172;1.3316;0.7509999999999999;0.9267;si;3;92.04795;126.3786995713627
609;Esferas_BT474_dia_3_well_1_100X_4_blob_2;2885.3822;1197.1769;1074.5438;1197.1769;1074.5438;209.5337;1165.7609;1040.7609;63.8587;63.1793;0.8259;66.4824;1743;1625;68.416;57.6086;1.0805;0.9255;0.959;si;3;62.0455;38.70458239899531
610;Esferas_BT474_dia_3_well_2_100X_1_blob_2;1545.1471;813.5142;205.912;813.5142;205.912;149.1034;793.4783;180.7065;40.0815;48.913;0.8734;50.9511;1183;338;73.7398;39.7595;1.2786;0.7821;0.9731;si;3;45.3553;15.11874184950293
611;Esferas_BT474_dia_3_well_2_100X_1_blob_4;17925.6446;869.6141;905.2379;869.6141;905.2379;511.3786;792.7989;829.4837;157.6087;150.8152;0.8614;158.3157;1167;1333;5.4170000000000025;150.11;1.0244;0.9761;0.9851;si;3;154.21285;594.282867341137
612;Esferas_BT474_dia_3_pozo_^~1_100X_1_blob_3;304.5989;664.6873;598.6135;664.6873;598.6135;65.4388;654.8913;588.9946;19.7011;20.3804;0.8939;21.4829;965;871;145.3048;19.5031;1.061;0.9425;0.9469;no;3;20.493;1.394595116306051
613;Esferas_BT474_dia_3_pozo_^~1_100X_2_blob_3;4793.7404;1083.9917;538.3221;1083.9917;538.3221;270.0722;1041.4402;500.0;91.0326;73.3696;0.8259;91.5306;1534;782;168.4399;73.0106;1.2794;0.7816;0.9655;no;3;82.2706;90.2330243184507
614;Esferas_BT474_dia_3_well_2_100X_3_blob_1;915.1812;955.3349;197.5794;955.3349;197.5794;112.9531;938.1793;180.7065;33.9674;34.6467;0.9014;37.1411;1392;314;50.1944;32.7846;1.1278;0.8867;0.968;no;3;34.96285;6.92551382790626
615;Esferas_BT474_dia_3_well_1_100X_3_blob_1;338.2894;43.3657;298.5521;43.3657;298.5521;69.5149;32.6087;288.7228;21.0598;19.7011;0.8797;23.1876;49;431;148.1726;19.7011;1.0845;0.9221;0.9501;no;3;21.44435;1.5979757354854858
616;Esferas_BT474_dia_3_well_1_100X_3_blob_2;992.7155;971.0049;389.0669;971.0049;389.0669;119.6783;953.8043;370.2446;33.288000000000004;39.4022;0.871;40.1448;1419;600;66.0375;33.2519;1.2258;0.8158;0.9633;no;3;36.69835;8.008867981604574
617;Esferas_BT474_dia_3_well_2_100X_4_blob_1;1366.5414;1059.1929;185.7163;1059.1929;185.7163;145.2604;1042.1196;159.6467;33.288000000000004;52.9891;0.8138;53.5135;1551;235;98.0272;33.2345;1.6597;0.6025;0.9678;no;3;43.374;13.222693928766532
618;Esferas_BT474_dia_3_well_2_100X_4_blob_3;478.128;804.6921;913.9615;804.6921;913.9615;81.908;792.1196;902.1739;25.8152;23.0978;0.8956;27.7537;1166;1338;158.459;23.0978;1.1227;0.8907;0.9601;no;3;25.42575;2.6635008346987807
619;Esferas_BT474_dia_3_well_2_100X_4_blob_4;6835.9375;1182.4718;1074.3251;1182.4718;1074.3251;322.9813;1130.4348;1027.1739;103.9402;97.1467;0.8235;112.1438;1681;1521;141.3944;78.8385;1.4369;0.6959;0.9725;no;3;95.49115;141.09801063564638
620;Esferas_BT474_dia_3_well_2_100X_4_blob_5;611.0438;750.3115;1231.5422;750.3115;1231.5422;92.0782;735.7337;1218.0707;29.212;27.1739;0.9057;30.0914;1085;1823;28.3008;27.0394;1.107;0.9034;0.9615;no;3;28.5654;3.777047524938341
621;Esferas_BT474_dia_3_well_1_100X_5_blob_1;205.3735;411.742;305.1455;411.742;305.1455;52.8809;403.5326;296.875;16.3043;16.3043;0.9229;17.9482;594;444;150.5241;15.9673;1.0621;0.9415;0.9498;no;3;16.95775;0.790198507389393
622;Esferas_BT474_dia_3_well_1_100X_5_blob_3;4234.3861;593.9477;760.2209;593.9477;760.2209;258.6398;555.7065;727.5815;84.9185;70.6522;0.7954;88.3074;819;1139;17.4592;69.1655;1.2798;0.7814;0.9568;no;3;78.73644999999998;79.09681740740244
623;Esferas_BT474_dia_3_well_2_100X_5_blob_1;681.6554;1396.2509;210.134;1396.2509;210.134;98.8717;1382.4728;193.6141;26.4946;32.6087;0.8763;33.3158;2047;332;69.7174;26.3798;1.2555;0.7965;0.9578;no;3;29.8478;4.308920662954135
624;Esferas_BT474_dia_3_well_2_100X_5_blob_3;358.1345;1298.7362;436.9598;1298.7362;436.9598;70.6405;1287.3641;426.6304;22.4185;21.0598;0.9019;22.6743;1895;641;171.3844;21.0598;1.0479;0.9542;0.9527;no;3;21.86705;1.6943460472123664
625;Esferas_BT474_dia_3_well_2_100X_5_blob_5;526.1254;1133.0777;1164.0536;1133.0777;1164.0536;87.1379;1119.5652;1150.1359;27.1739;27.1739;0.8707;30.3358;1656;1695;124.0459;22.0971;1.3102;0.7633;0.9552;no;3;26.21645;2.9198004348139848
626;Esferas_BT474_dia_3_well_1_100X_6_blob_2;1364.2338;364.8914;374.6272;364.8914;374.6272;151.3546;341.712;353.9402;48.2337;38.0435;0.7484;50.2212;510;530;149.9667;37.7627;1.4338;0.6974;0.9329;no;3;43.99195;13.795935621313957
627;Esferas_BT474_dia_3_well_1_100X_6_blob_3;693.6547;1122.4252;739.2916;1122.4252;739.2916;97.115;1108.0163;724.1848;28.5326;30.5707;0.9242;32.2171;1642;1067;114.9439;28.5326;1.0836;0.9229;0.9675;no;3;30.37485;4.541234679041101
628;Esferas_BT474_dia_3_well_2_100X_2_blob_1;1597.7596;272.6714;298.8057;272.6714;298.8057;156.6928;250.0;279.212;47.5543;42.7989;0.8178;50.4779;369;419;151.0203;42.7989;1.1143;0.8974;0.9582;no;3;46.6384;16.438509937161363
629;Esferas_BT474_dia_3_well_2_100X_2_blob_3;10171.7569;1135.0413;804.8659;1135.0413;804.8659;431.7618;1066.5761;748.6413;129.7554;108.6957;0.6857;140.1055;1575;1222;28.0561;98.4705;1.4055;0.7115;0.9504;no;3;119.288;275.0564233807861
630;Esferas_BT474_dia_3_well_2_100X_2_blob_4;356.7499;1072.1036;1017.5194;1072.1036;1017.5194;69.6797;1061.1413;1007.4728;22.4185;20.3804;0.9233;22.8366;1565;1508;30.3791;20.3804;1.0906;0.917;0.9591;no;3;21.6085;1.6349534092747475
631;Esferas_BT474_dia_3_well_2_100X_2_blob_5;570.4306;1352.1077;1224.8795;1352.1077;1224.8795;89.82700000000001;1338.9946;1210.5978;25.1359;28.5326;0.8884;30.3814;1981;1783;116.5651;24.7735;1.2183;0.8208;0.9611;no;3;27.57745;3.3985513593463885
632;Esferas_BT474_dia_3_well_2_100X_1_blob_1;439.3608;388.8988;65.774;388.8988;65.774;77.4339;377.038;54.3478;23.7772;23.0978;0.9208;24.7006;557;87;148.4957;23.0978;1.0299;0.971;0.9611;no;3;23.8992;2.211982113280164
633;Esferas_BT474_dia_3_well_2_100X_1_blob_3;502.5882;1326.9731;618.2268;1326.9731;618.2268;82.8004;1313.8587;605.9783;26.4946;24.4565;0.9212;27.3854;1936;900;150.2551;24.4565;1.105;0.905;0.962;no;3;25.92095;2.8221770956388994
