labels,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_6_well_1_100X_11_blob_1,989.4849,413.2837,227.5074,413.2837,227.5074,119.0473,394.7011,208.5598,36.6848,37.3641,0.8774,38.2612,581,329,163.4956,34.3726,1.0725,0.9324,0.9593,si,6,36.3169,7.761717474092344
Esferas_BT474_dia_6_well_1_100X_12_blob_1,1871.4371,436.3898,282.3171,436.3898,282.3171,162.8552,412.3641,258.1522,48.2337,48.2337,0.8867,52.4684,613,441,48.6745,47.7822,1.0654,0.9387,0.9758,si,6,50.1253,20.40809534199791
Esferas_BT474_dia_6_well_1_100X_11_blob_1,989.4849,413.2837,227.5074,413.2837,227.5074,119.0473,394.7011,208.5598,36.6848,37.3641,0.8774,38.2612,581,329,163.4956,34.3726,1.0725,0.9324,0.9593,no,6,36.3169,7.761717474092344
Esferas_BT474_dia_6_well_1_100X_12_blob_1,1871.4371,436.3898,282.3171,436.3898,282.3171,162.8552,412.3641,258.1522,48.2337,48.2337,0.8867,52.4684,613,441,48.6745,47.7822,1.0654,0.9387,0.9758,no,6,50.1253,20.40809534199791
