labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
Esferas_BT474_dia_2_well_1_100X_4_blob_13;1495.7652;1201.9052;624.2587;1201.9052;624.2587;147.1137;1177.9891;603.9402;48.913;40.0815;0.8685;49.597;1735;931;13.4652;39.8708;1.2182;0.8209;0.9663;si;2;44.73390000000001;14.50580408462591
Esferas_BT474_dia_2_well_1_100X_4_blob_14;931.7957;204.1797;636.6938;204.1797;636.6938;114.0787;187.5;618.2065;33.9674;35.3261;0.8997;37.5121;278;922;144.5829;33.1456;1.1359;0.8803;0.9665;si;2;35.32885;7.145292673092391
Esferas_BT474_dia_2_well_1_100X_4_blob_15;8609.5338;558.3933;697.7646;558.3933;697.7646;420.4543;503.3967;629.7554;101.2228;135.8696;0.612;141.417;798;1124;67.9941;90.0295;1.4959;0.6685;0.9213;si;2;115.72325;251.1269868559397
Esferas_BT474_dia_2_well_1_100X_4_blob_16;984.4082;1668.4421;675.6339999999999;1668.4421;675.6339999999999;121.6681;1652.8533;655.5707;30.5707;41.4402;0.8357;42.3654;2448;1026;74.1808;30.5707;1.3449;0.7435;0.9533;si;2;36.46805;7.85903358284737
Esferas_BT474_dia_2_well_1_100X_4_blob_18;3348.7417;1423.2587;710.8425;1423.2587;710.8425;225.5766;1385.1902;676.6304;69.9728;65.8967;0.8270000000000001;73.6458;2041;1072;29.876;63.5788;1.0921;0.9157;0.9599;si;2;68.6123;52.34045014876682
Esferas_BT474_dia_2_well_1_100X_4_blob_19;9389.953;220.3867;745.5793;220.3867;745.5793;375.8339;163.0435;692.9348;114.1304;106.6576;0.8354;115.4592;286;1025;117.3189;106.2363;1.0679;0.9364;0.9794;si;2;110.84775;220.7049971222833
Esferas_BT474_dia_2_well_1_100X_4_blob_20;2557.7076;1125.9503;728.6539;1125.9503;728.6539;201.7512;1096.4674;696.3315;58.4239;59.7826;0.7896;62.9488;1634;1110;60.9454;56.0762;1.0765;0.929;0.9465;si;2;59.5125;34.15514263373914
Esferas_BT474_dia_2_well_1_100X_4_blob_21;2600.1669;1425.7789;822.1873;1425.7789;822.1873;219.8404;1396.0598;790.0815;60.462;59.7826;0.6761;62.8901;2059;1186;153.7117;55.6757;1.1402;0.8771;0.9429;si;2;59.2829;33.76135283975775
Esferas_BT474_dia_2_pozo_^~1_100X_4_blob_23;667.81;794.2053;977.0479;794.2053;977.0479;100.3952;781.25;959.9185;26.4946;33.9674;0.8326;35.567;1157;1415;118.5231;24.0558;1.505;0.6645;0.9427;si;2;29.8114;4.293175430685886
Esferas_BT474_dia_2_well_1_100X_4_blob_24;3378.2786;1135.9696;993.5425;1135.9696;993.5425;222.8592;1103.9402;961.2772;64.538;66.5761;0.8548;70.0256;1641;1503;50.9061;63.497;1.0828;0.9235;0.9745;si;2;66.7613;48.21763158621904
Esferas_BT474_dia_2_well_1_100X_4_blob_26;808.1101;1541.8067;1058.3531;1541.8067;1058.3531;108.246;1525.8152;1042.1196;33.9674;32.6087;0.8667;34.6401;2247;1546;154.44;31.4703;1.0768;0.9287;0.9503;si;2;33.0552;5.852627551767148
Esferas_BT474_dia_2_well_1_100X_4_blob_28;3975.0155;1437.1522;1104.9902;1437.1522;1104.9902;275.1373;1400.8152;1069.2935;76.7663;71.3315;0.6599;77.9387;2064;1604;165.3581;68.2663;1.1519;0.8681;0.9522;si;2;73.10249999999998;63.30357080478532
Esferas_BT474_dia_2_well_1_100X_4_blob_29;4091.7784;966.0166;1155.8528;966.0166;1155.8528;268.8783;928.6685;1115.4891;72.0109;76.7663;0.7112;82.6043;1396;1749;58.7938;71.09899999999998;1.0672;0.9371;0.9234;si;2;76.85164999999998;73.55142792023352
Esferas_BT474_dia_2_well_1_100X_4_blob_30;718.5765;694.0035;1174.4067;694.0035;1174.4067;102.0153;678.6685;1158.9674;30.5707;32.6087;0.8677;33.7835;1018;1754;74.8459;29.4763;1.0707;0.934;0.9532;si;2;31.6299;5.127727958293642
