labels,Area,Perim.,Circ.,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_0_well_2_100X_1_blob_28,911.4891,111.9924,0.9132,0.9916,0.971,si,0,34.53205,6.6726539583862925
Esferas_BT474_dia_0_well_2_100X_1_blob_30,345.6736,69.8446,0.8905,0.885,0.9493,si,0,21.83395,1.6866635287966858
Esferas_BT474_dia_0_well_2_100X_1_blob_31,432.4381,77.2008,0.9118,0.8825,0.9605,si,0,23.8884,2.2089846975246017
Esferas_BT474_dia_0_well_2_100X_1_blob_33,332.2897,68.719,0.8842,0.9558,0.9436,si,0,21.12855,1.5284125688200465
Esferas_BT474_dia_0_well_2_100X_1_blob_34,315.6752,65.6036,0.9217,0.9871,0.9513,si,0,20.87415,1.4738657261210757
Esferas_BT474_dia_0_well_2_100X_1_blob_35,332.7512,67.3603,0.9216,0.9085,0.9556,si,0,20.909550000000007,1.4813769367143137
Esferas_BT474_dia_0_well_2_100X_1_blob_36,303.6759,64.47800000000001,0.9179,0.9346,0.9529,si,0,20.0462,1.3053521740006755
Esferas_BT474_dia_0_well_2_100X_1_blob_37,262.6012,60.402,0.9045,0.9927,0.9491,si,0,18.82655,1.08129388262451
Esferas_BT474_dia_0_well_2_100X_1_blob_39,346.5966,69.1169,0.9117,0.9649,0.9567,si,0,21.6008,1.6332062279682416
Esferas_BT474_dia_0_well_2_100X_1_blob_40,213.2192,53.114,0.9498,0.9425,0.9615,si,0,16.78015,0.765630165361298
Esferas_BT474_dia_0_well_2_100X_1_blob_41,307.8295,65.0408,0.9144,0.9026,0.9488,si,0,20.3857,1.372803589743219
Esferas_BT474_dia_0_well_2_100X_1_blob_42,342.9045,68.321,0.9232,0.9814,0.9575,si,0,21.46825,1.6033245850802822
Esferas_BT474_dia_0_well_2_100X_1_blob_43,302.7528,63.5173,0.943,0.9557,0.9612,si,0,19.88065,1.273278068488801
Esferas_BT474_dia_0_well_2_100X_1_blob_45,493.3579,82.8004,0.9043,0.932,0.9536,si,0,25.95865,2.834508923329045
Esferas_BT474_dia_0_well_2_100X_1_blob_48,311.0601,65.0408,0.924,0.9641,0.9513,si,0,20.3859,1.3728439950388356
Esferas_BT474_dia_0_well_2_100X_1_blob_51,881.9522,116.165,0.8213,0.9084,0.9529,si,0,34.25665,6.5142765458030905
Esferas_BT474_dia_0_well_2_100X_1_blob_52,299.5222,63.9153,0.9214,0.9067,0.9579,si,0,20.4492,1.3856721467680455
